"Pos","Park","Change (%)","Area (km2)","Longitude","Lattitude"
"1","Plumley Park","0.152","0.12","-2.915","51.354"
"2","Rowley Park Sports S...","0.108","0.13","-2.123","52.794"
"3","unnamed","0.106","0.13","-1.782","51.587"
"4","Kensington Gardens","0.103","1.07","-0.178","51.506"
"5","unnamed","0.101","0.14","-1.384","52.54"
"6","Hall Park","0.1","0.14","-0.598","52.285"
"7","Peasholm Park","0.088","0.14","-0.411","54.289"
"8","The Well Head Fields","0.086","0.10","-0.379","52.765"
"9","Sanders Park","0.085","0.15","-2.071","52.333"
"10","Beacon Park","0.084","0.29","-1.837","52.684"
"11","Chilton Fields Sport...","0.081","0.12","0.976","52.195"
"12","Preston Park","0.08","0.34","-1.337","54.534"
"13","Seaclose Recreation ...","0.076","0.17","-1.286","50.707"
"14","Watermead Country Pa...","0.074","1.48","-1.104","52.686"
"15","Haden Hill Park","0.07","0.37","-2.063","52.463"
"16","Chesham Moor","0.069","0.14","-0.599","51.693"
"17","Kettlebrook Park","0.069","0.35","-1.664","52.614"
"18","Lyndon Playing Field...","0.068","0.13","-1.8","52.454"
"19","Cannon Hill Common","0.068","0.11","-0.219","51.401"
"20","Possingworth Park","0.067","1.34","0.195","50.966"
"21","unnamed","0.066","0.13","-1.729","53.882"
"22","The Park","0.065","0.13","-0.486","53.863"
"23","unnamed","0.065","0.13","-1.349","52.727"
"24","Burrs Country Park","0.064","0.28","-2.305","53.61"
"25","unnamed","0.064","0.15","-2.763","51.473"
"26","South Park","0.064","0.23","-1.229","51.751"
"27","Calthorpe Park","0.064","0.14","-0.85","51.277"
"28","Queen's Park Sports ...","0.063","0.12","-1.433","53.233"
"29","Shobnall Leisure Com...","0.063","0.29","-1.654","52.811"
"30","Poolfoot Farm Traini...","0.063","0.14","-3.007","53.885"
"31","Ellergreen Park","0.063","0.28","-2.771","54.349"
"32","Hillingdon Court Par...","0.062","0.22","-0.454","51.544"
"33","unnamed","0.061","0.14","-2.089","52.965"
"34","Brinton Park","0.061","0.11","-2.257","52.38"
"35","unnamed","0.06","0.11","-1.427","51.601"
"36","Link Common","0.06","0.20","-2.318","52.123"
"37","One Leisure St Ives ...","0.06","0.16","-0.092","52.337"
"38","Highdown Gardens","0.059","0.12","-0.441","50.824"
"39","Neatherd Moor","0.058","0.15","0.957","52.683"
"40","Ampthill Park","0.058","0.63","-0.502","52.035"
"41","Little Stoke Park","0.057","0.12","-2.56","51.528"
"42","Burn Valley Gardens","0.057","0.10","-1.227","54.678"
"43","East Fen Common","0.056","0.21","0.353","52.332"
"44","Royden Park","0.055","0.43","-3.135","53.364"
"45","Howe Park Wood","0.054","0.32","-0.787","52.001"
"46","The Edge","0.054","0.17","-0.746","51.095"
"47","Bedlington Country P...","0.054","0.64","-1.591","55.117"
"48","Montreal Park","0.054","0.18","0.166","51.277"
"49","unnamed","0.053","0.14","-1.457","52.89"
"50","unnamed","0.053","0.12","-0.993","51.744"
"51","Audley Park","0.053","0.86","0.227","52.021"
"52","American Garden","0.051","0.25","-0.769","51.337"
"53","Chalkwell Park","0.049","0.10","0.678","51.544"
"54","unnamed","0.049","0.13","-0.164","50.946"
"55","Shirley Park","0.048","0.13","-1.829","52.41"
"56","King Georges Field R...","0.048","0.11","-0.282","51.372"
"57","Amesbury Park","0.048","0.43","-1.789","51.174"
"58","unnamed","0.048","0.28","-2.67","53.546"
"59","Mill Green Nature Pa...","0.047","0.28","-2.015","52.689"
"60","The Park","0.047","0.17","-1.475","53.02"
"61","Brocks Hill Country ...","0.046","0.26","-1.085","52.591"
"62","unnamed","0.046","0.14","-1.895","50.747"
"63","unnamed","0.045","0.16","-2.222","53.088"
"64","unnamed","0.045","0.63","-2.618","51.474"
"65","Lily Hill Park","0.045","0.24","-0.724","51.414"
"66","Decoy Country Park","0.044","0.54","-3.603","50.518"
"67","Manor Farm Park","0.044","0.20","-1.961","52.424"
"68","Central Park","0.044","0.68","-4.147","50.386"
"69","Lammas Lands","0.044","0.30","-0.601","51.189"
"70","unnamed","0.044","0.11","-3.015","53.326"
"71","Burgate Great Green","0.043","0.17","1.056","52.346"
"72","unnamed","0.043","0.11","-0.274","52.619"
"73","Sunnyhill Park","0.043","0.22","-0.228","51.596"
"74","unnamed","0.043","0.13","-0.332","51.29"
"75","unnamed","0.042","0.15","-0.2","51.466"
"76","New Park","0.042","0.18","-1.666","53.568"
"77","unnamed","0.041","0.10","-1.669","50.747"
"78","Croyland Park","0.041","0.40","-0.703","52.294"
"79","Manor Park","0.041","0.15","-3.235","50.726"
"80","Astley Park","0.041","0.45","-2.642","53.658"
"81","Wath Park","0.041","0.10","-1.339","53.506"
"82","Barham Park","0.04","0.10","-0.309","51.553"
