"Park","Wtd. average distance","Change (%)","Area (km2)","Longitude","Lattitude"
"Plumley Park","4.59","-0.534","0.12","-2.915","51.354"
"Gunby Park","4.57","-0.49","0.47","0.195","53.179"
"unnamed","4.55","-0.446","0.13","-1.796","52.492"
"South Cliff Gardens","4.53","-0.435","0.14","-0.393","54.27"
"Market Gardens","4.51","-0.411","0.16","-1.932","55.671"
"The Well Head Fields","4.49","-0.365","0.10","-0.379","52.765"
"unnamed","4.48","-0.332","0.17","-0.68","52.295"
"Thornham Park","4.46","-0.31","0.30","1.083","52.302"
"Ley Hill Recreation ...","4.45","-0.303","0.20","-1.979","52.421"
"unnamed","4.44","-0.296","0.13","-1.782","51.587"
"unnamed","4.42","-0.284","0.14","0.155","52.668"
"unnamed","4.41","-0.276","0.19","-1.341","52.558"
"Neatherd Moor","4.4","-0.246","0.15","0.957","52.683"
"The Warren","4.39","-0.246","0.13","-5.118","50.41"
"unnamed","4.38","-0.236","0.15","-1.863","52.959"
"Brookfields Park","4.37","-0.233","0.29","-1.317","53.51"
"Ellergreen Park","4.36","-0.229","0.28","-2.771","54.349"
"The Park","4.35","-0.228","0.13","-0.486","53.863"
"Poolfoot Farm Traini...","4.34","-0.228","0.14","-3.007","53.885"
"Kensington Gardens","4.33","-0.228","1.07","-0.178","51.506"
"Burntwood Leisure Ce...","4.32","-0.228","0.10","-1.93","52.677"
"The Park","4.31","-0.221","0.13","-2.463","52.913"
"Possingworth Park","4.3","-0.22","1.34","0.195","50.966"
"Osmaston Park","4.29","-0.22","0.13","-1.462","52.893"
"East Fen Common","4.28","-0.219","0.21","0.353","52.332"
"Brinton Park","4.27","-0.216","0.11","-2.257","52.38"
"Kettlebrook Park","4.26","-0.212","0.35","-1.664","52.614"
"Parklands Leisure Ce...","4.25","-0.203","0.12","-3.995","50.734"
"Victoria Park","4.25","-0.202","0.13","-2.061","52.525"
"Clarence Park","4.24","-0.201","0.23","-2.285","53.606"
"Link Common","4.23","-0.2","0.20","-2.318","52.123"
"unnamed","4.22","-0.194","0.13","-1.349","52.727"
"Chilton Fields Sport...","4.21","-0.194","0.12","0.976","52.195"
"Queen's Park Sports ...","4.2","-0.194","0.12","-1.433","53.233"
"Watermead Country Pa...","4.2","-0.193","1.48","-1.104","52.686"
"Bromsgrove School Sp...","4.19","-0.187","0.11","-2.063","52.327"
"Stockley Country Par...","4.18","-0.185","0.17","-0.455","51.516"
"Parnham Park","4.17","-0.185","0.14","-2.741","50.802"
"Mayon Green","4.16","-0.186","0.14","-5.69","50.078"
"Bedlington Country P...","4.16","-0.183","0.64","-1.591","55.117"
"Monks-Neil Park","4.15","-0.181","0.14","-2.187","53.069"
"Highdown Gardens","4.14","-0.181","0.12","-0.441","50.824"
"Shobnall Leisure Com...","4.13","-0.179","0.29","-1.654","52.811"
"South Park","4.13","-0.173","0.23","-1.229","51.751"
"unnamed","4.12","-0.171","0.35","-2.955","51.157"
"Warley Park","4.11","-0.17","0.25","-1.981","52.473"
"Priory Park","4.11","-0.17","0.18","0.707","51.553"
"unnamed","4.1","-0.17","0.11","-1.427","51.601"
"Knightshayes Park","4.09","-0.17","0.71","-3.479","50.921"
"Walton Hall Park","4.09","-0.168","0.54","-2.952","53.448"
"unnamed","4.08","-0.168","0.10","-0.276","52.595"
"Laithwaite Park","4.07","-0.166","0.14","-2.658","53.541"
"Central Park","4.07","-0.163","0.68","-4.147","50.386"
"unnamed","4.06","-0.163","0.13","-2.916","50.923"
"Fox Hollies Park","4.05","-0.16","0.17","-1.821","52.437"
"Amesbury Park","4.05","-0.16","0.43","-1.789","51.174"
"One Leisure St Ives ...","4.04","-0.156","0.16","-0.092","52.337"
"unnamed","4.03","-0.156","0.13","-1.729","53.882"
"Mandale Park","4.03","-0.157","0.19","-2.168","53.609"
"unnamed","4.02","-0.157","0.33","-2.106","52.985"
"Fairway Sports Compl...","4.01","-0.155","0.11","-1.166","50.657"
"Morden Hall Park","4.01","-0.155","0.40","-0.185","51.403"
"Langold Country Park","4","-0.155","0.56","-1.127","53.371"
"Whittleford Park","4","-0.155","0.50","-1.503","52.526"
"Chesham Moor","3.99","-0.154","0.14","-0.599","51.693"
"Memorial Park","3.98","-0.154","0.14","-2.063","52.587"
"Philips Park","3.98","-0.154","0.12","-2.194","53.488"
"Audley Park","3.97","-0.152","0.86","0.227","52.021"
"High Tor Recreation ...","3.97","-0.15","0.19","-1.555","53.129"
"unnamed","3.96","-0.15","0.15","-2.763","51.473"
"Wyken Croft Nature P...","3.95","-0.15","0.25","-1.454","52.425"
"Scrivelsby Park","3.95","-0.149","1.09","-0.097","53.176"
"unnamed","3.94","-0.146","0.12","-0.993","51.744"
"Victoria Park","3.94","-0.145","0.21","-2.586","51.44"
"Grin Low And Buxton ...","3.93","-0.145","0.42","-1.925","53.247"
"Decoy Country Park","3.92","-0.145","0.54","-3.603","50.518"
"unnamed","3.92","-0.145","0.17","-0.452","53.997"
"Furzton Lake","3.91","-0.144","0.38","-0.763","52.014"
